Pueblos_actualizados,lat,lon
CP Carhuayoc,-9.5285766,-77.1273823
CP Catac,-9.9244392,-77.3384783
CP Morococha,-11.6063221,-76.1326297
CP Morococha,-11.6063221,-76.1326297
CP Ayash Pichiu,-9.5214808,-77.0187709
Santa Cruz Pichiu,,
Chalhuahuacho,-14.1146406,-72.247905
CP Tambulla,-14.1919685,-72.3287696
Hualgayoc,-6.7087189,-78.5314589
Espinar,-14.8105832,-71.2832861
CP Tingo,-6.860618,-78.2156505
CP Cajacay,-10.1554525,-77.4396526
Velille,-14.5101172,-71.8846039
CP Fuerabamba,-14.0958481,-72.2924399
CP Fuerabamba,,
CP San Antonio de Juprog,-9.57192,-77.0724654
Huarmey,-10.0643674,-77.9718798
Huanchay,-9.7235947,-77.8184585
CP San Juan de Milpo,-10.5960107,-76.2147385
CP Santa Rosa,-8.5270766,-78.0672625
Los Baños del Inca,-7.0827588,-78.4704848
Baños,,
Chamaca,-14.3023791,-71.8525723
CP Huaylla Huaylla,-14.6149812,-71.7812139
Chumbivilcas,-14.4174733,-72.0000172
Llusco,-14.337199,-72.11399
Capacmarca,-14.0071868,-72.0028173
Quiñota,-14.3114158,-72.1383145
Livitaca,-14.3125299,-71.6895185
Huaraz,-9.5298511,-77.5289981
Paruro,-13.916667,-71.916667
Paccarectambo,-13.7521228,-71.9535544
Huanoquite,-13.6816043,-72.0174185
Ccapi,-13.8532331,-72.0818183
Yaurisque,-13.6631911,-71.9216442
La Encañada,-7.0837305,-78.3395695
Huaripampa Alto,-9.5013823,-77.1380564
Huaripampa Central,-9.5040201,-77.1409593
Huaripampa Baja,-9.5033732,-77.1457181
CP Tumilaca,-17.1298437,-70.8363753
Pacopata,,
Espinar,-14.8105832,-71.2832861
Huancane Bajo,-14.8156415,-71.3322797
Alto Huancane,-14.8737717,-71.2819871
CC Huarca,-14.9324076,-71.3908231
Anta Ccollana,,
CC Cala Cala,-15.000909,-71.368593
CC Huisa,,
CC Huano Huano,-13.5426508,-72.0362583
Espinar,-14.8105832,-71.2832861
Tintaya Marquiri,-14.8642081,-71.3335921
Distrito de Torata,,
CC Alto Huarca,-14.9324076,-71.3908231
Pallpata,-14.9441364,-71.0799121
Pallpata,-14.9441364,-71.0799121
Ocoruro,-15.0523951,-71.1290281
Pichigua Pichigua,-14.6697669,-71.3654746
Condorama,-15.3034276,-71.1364237
Pallpata,-14.9441364,-71.0799121
Mamanocca,-14.9049138,-71.0542917
Pirhuayani,-14.9982664,-71.0708356
Alto Pichigua,-14.7375545,-71.2167206
Huarcapata,,
Pallpata,-14.9441364,-71.0799121
Atacama,,
Chorrillo,-14.4623909,-71.3748705
Cruz Pampa,-14.9275197,-71.1382234
