GrupoID,Estado,FechaReporte,Minas,Compañía minera,Pueblos,Departamento,Pueblos_actualizados,Año,Sem,Semestre
Grupo_191,Activo,2004-10-31,Yanacocha,Newmont,"['Quilish-38', 'Choropampa', 'San Juan']",CAJAMARCA,"['Quilish', 'Choropampa', 'San Juan']",2004,2,2004-S2
Grupo_191,Activo,2004-09-30,Yanacocha,Newmont,"['Quilish-38', 'Choropampa', 'San Juan']",CAJAMARCA,"['Quilish', 'Choropampa', 'San Juan']",2004,2,2004-S2
Grupo_250,Activo,2005-04-30,"Pierina, Antamina","Barrick,Antamina","['Ciudad de Huaraz', 'Caseríos y anexos cercanos al cerro Condorhuain']",ÁNCASH,"['Ciudad de Huaraz', 'Rondos Lauricocha']",2005,1,2005-S1
Grupo_256,Activo,2005-04-30,Yanacocha,Newmont,"['CP Ingatambo', 'CP Negritos', 'CP Lagunas', 'CP San Cirilo', 'CP Yanacanchilla Alta', 'CP Yanacanchilla Bajo']",CAJAMARCA,"['CP Ingatambo', 'CP Negritos', 'CP Lagunas', 'CP San Cirilo', 'CP Yanacanchilla Alta', 'Encañada Cajamarca']",2005,1,2005-S1
Grupo_250,Activo,2005-08-31,"Pierina, Antamina","Barrick,Antamina","['Ciudad de Huaraz', 'Caseríos y anexos cercanos al cerro Condorhuain']",ÁNCASH,"['Ciudad de Huaraz', 'Rondos Lauricocha']",2005,2,2005-S2
Grupo_278,Activo,2005-08-31,Las Bambas,Las Bambas,"['Cotabambas (Provincia)', 'Tambobamba', 'Chuquilambila']",APURÍMAC,"['Cotabambas', 'Tambobamba', 'Chuquibambilla']",2005,2,2005-S2
Grupo_250,Activo,2005-02-28,"Pierina, Antamina","Barrick,Antamina","['Ciudad de Huaraz', 'Caseríos y anexos cercanos al cerro Condorhuain']",ÁNCASH,"['Ciudad de Huaraz', 'Rondos Lauricocha']",2005,1,2005-S1
Grupo_336,Activo,2005-02-28,"San Nicolas, Cerro Corona","San Nicolas, Gold Fields","['Distrito de Bambamarca', 'CP Tingo']",CAJAMARCA,"['Bambamarca', 'CP Tingo']",2005,1,2005-S1
Grupo_250,Activo,2005-07-31,"Pierina, Antamina","Barrick,Antamina","['Ciudad de Huaraz', 'Caseríos y anexos cercanos al cerro Condorhuain']",ÁNCASH,"['Ciudad de Huaraz', 'Rondos Lauricocha']",2005,2,2005-S2
Grupo_256,Activo,2005-07-31,Yanacocha,Newmont,"['CP Ingatambo', 'CP Negritos', 'CP Lagunas', 'CP San Cirilo', 'CP Yanacanchilla Alta', 'CP Yanacanchilla Bajo']",CAJAMARCA,"['CP Ingatambo', 'CP Negritos', 'CP Lagunas', 'CP San Cirilo', 'CP Yanacanchilla Alta', 'Encañada Cajamarca']",2005,2,2005-S2
Grupo_350,Activo,2005-07-31,Yanacocha,Newmont,"['CP Quishuar corral', 'CP Aliso Colorado', 'CP San José']",CAJAMARCA,"['CP Quishuar corral', 'CP Aliso Colorado', 'CP San Jose']",2005,2,2005-S2
Grupo_250,Activo,2005-03-31,"Pierina, Antamina","Barrick,Antamina","['Ciudad de Huaraz', 'Caseríos y anexos cercanos al cerro Condorhuain']",ÁNCASH,"['Ciudad de Huaraz', 'Rondos Lauricocha']",2005,1,2005-S1
Grupo_250,Activo,2005-05-31,"Pierina, Antamina","Barrick,Antamina","['Ciudad de Huaraz', 'Caseríos y anexos cercanos al cerro Condorhuain']",ÁNCASH,"['Ciudad de Huaraz', 'Rondos Lauricocha']",2005,1,2005-S1
Grupo_256,Activo,2005-05-31,Yanacocha,Newmont,"['CP Ingatambo', 'CP Negritos', 'CP Lagunas', 'CP San Cirilo', 'CP Yanacanchilla Alta', 'CP Yanacanchilla Bajo']",CAJAMARCA,"['CP Ingatambo', 'CP Negritos', 'CP Lagunas', 'CP San Cirilo', 'CP Yanacanchilla Alta', 'Encañada Cajamarca']",2005,1,2005-S1
Grupo_250,Activo,2005-06-30,"Pierina, Antamina","Barrick,Antamina","['Ciudad de Huaraz', 'Caseríos y anexos cercanos al cerro Condorhuain']",ÁNCASH,"['Ciudad de Huaraz', 'Rondos Lauricocha']",2005,1,2005-S1
Grupo_256,Activo,2005-06-30,Yanacocha,Newmont,"['CP Ingatambo', 'CP Negritos', 'CP Lagunas', 'CP San Cirilo', 'CP Yanacanchilla Alta', 'CP Yanacanchilla Bajo']",CAJAMARCA,"['CP Ingatambo', 'CP Negritos', 'CP Lagunas', 'CP San Cirilo', 'CP Yanacanchilla Alta', 'Encañada Cajamarca']",2005,1,2005-S1
Grupo_350,Activo,2005-06-30,Yanacocha,Newmont,"['CP Quishuar corral', 'CP Aliso Colorado', 'CP San José']",CAJAMARCA,"['CP Quishuar corral', 'CP Aliso Colorado', 'CP San Jose']",2005,1,2005-S1
Grupo_278,Activo,2005-09-30,Las Bambas,Las Bambas,"['Cotabambas (Provincia)', 'Tambobamba', 'Chuquilambila']",APURÍMAC,"['Cotabambas', 'Tambobamba', 'Chuquibambilla']",2005,2,2005-S2
Grupo_250,Activo,2006-04-30,"Pierina, Antamina","Barrick,Antamina","['Ciudad de Huaraz', 'Caseríos y anexos cercanos al cerro Condorhuain']",ÁNCASH,"['Ciudad de Huaraz', 'Rondos Lauricocha']",2006,1,2006-S1
Grupo_417,Activo,2006-08-31,Yanacocha,Newmont,"['CP Combayo', 'CP Bellavista Alta']",CAJAMARCA,"['CP Combayo', 'CP Bellavista Alta']",2006,2,2006-S2
Grupo_417,Activo,2006-09-30,Yanacocha,Newmont,"['CP Combayo', 'CP Bellavista Alta']",CAJAMARCA,"['CP Combayo', 'CP Bellavista Alta']",2006,2,2006-S2
Grupo_434,Activo,2006-10-31,Cerro Corona,Gold Fields,"['Distrito de Hualgayoc', 'CP Coymolache Bajo', 'CP Coymolache Alto']",CAJAMARCA,"['Hualgayoc', 'Coimolache', 'Coimolache']",2006,2,2006-S2
Grupo_434,Activo,2006-11-30,Cerro Corona,Gold Fields,"['Distrito de Hualgayoc', 'CP Coymolache Bajo', 'CP Coymolache Alto']",CAJAMARCA,"['Hualgayoc', 'Coimolache', 'Coimolache']",2006,2,2006-S2
Grupo_434,Activo,2006-12-31,Cerro Corona,Gold Fields,"['Distrito de Hualgayoc', 'CP Coymolache Bajo', 'CP Coymolache Alto']",CAJAMARCA,"['Hualgayoc', 'Coimolache', 'Coimolache']",2006,2,2006-S2
Grupo_434,Activo,2007-01-31,Cerro Corona,Gold Fields,"['Distrito de Hualgayoc', 'CP Coymolache Bajo', 'CP Coymolache Alto']",CAJAMARCA,"['Hualgayoc', 'Coimolache', 'Coimolache']",2007,1,2007-S1
Grupo_455,Activo,2007-01-31,Pucamarca,Minsur,['CP Vilavilani'],TACNA,['CP Vilavilani'],2007,1,2007-S1
Grupo_463,Activo,2007-02-28,Yanacocha,Newmont,['CP Chanta Alta'],CAJAMARCA,['CP Chanta Alta'],2007,1,2007-S1
Grupo_455,Activo,2007-02-28,Pucamarca,Minsur,['CP Vilavilani'],TACNA,['CP Vilavilani'],2007,1,2007-S1
Grupo_463,Activo,2007-03-31,Yanacocha,Newmont,['CP Chanta Alta'],CAJAMARCA,['CP Chanta Alta'],2007,1,2007-S1
Grupo_455,Activo,2007-03-31,Pucamarca,Minsur,['CP Vilavilani'],TACNA,['CP Vilavilani'],2007,1,2007-S1
Grupo_481,Activo,2007-04-30,Antamina,Antamina,"['CP Ayash Pichiú', 'CP Santa Cruz Pichiú']",ÁNCASH,"['CP Ayash Pichiu', 'Santa Cruz Pichiu']",2007,1,2007-S1
Grupo_463,Activo,2007-04-30,Yanacocha,Newmont,['CP Chanta Alta'],CAJAMARCA,['CP Chanta Alta'],2007,1,2007-S1
Grupo_256,Activo,2007-04-30,Yanacocha,Newmont,"['CP Ingatambo', 'CP Negritos', 'CP Lagunas', 'CP San Cirilo', 'CP Yanacanchilla Alta', 'CP Yanacanchilla Bajo']",CAJAMARCA,"['CP Ingatambo', 'CP Negritos', 'CP Lagunas', 'CP San Cirilo', 'CP Yanacanchilla Alta', 'Encañada Cajamarca']",2007,1,2007-S1
Grupo_455,Activo,2007-04-30,Pucamarca,Minsur,['CP Vilavilani'],TACNA,['CP Vilavilani'],2007,1,2007-S1
Grupo_463,Activo,2007-05-31,Yanacocha,Newmont,['CP Chanta Alta'],CAJAMARCA,['CP Chanta Alta'],2007,1,2007-S1
Grupo_256,Activo,2007-05-31,Yanacocha,Newmont,"['CP Ingatambo', 'CP Negritos', 'CP Lagunas', 'CP San Cirilo', 'CP Yanacanchilla Alta', 'CP Yanacanchilla Bajo']",CAJAMARCA,"['CP Ingatambo', 'CP Negritos', 'CP Lagunas', 'CP San Cirilo', 'CP Yanacanchilla Alta', 'Encañada Cajamarca']",2007,1,2007-S1
Grupo_505,Activo,2007-05-31,Quellaveco,Angloamerican,['Distrito de Torata'],MOQUEGUA,['Distrito de Torata'],2007,1,2007-S1
