PROYECTO,EMPRESA,AREAKM2,HAS,ZONA,ID,CAPA,lat,lon,radius
Quellaveco,ANGLO AMERICAN QUELLAVECO S.A,11.46,"1,146.007",19,145,Mina,-17.128498634811876,-70.65101942900742,13.045047026718613
Toromocho,Minera Chinalco Peru S.A.,20.858,"2,085.811",18,91,Mina,-11.624941133085336,-76.15057816221082,14.169133974508963
Cerro Corona,Gold Fields La Cima S.A.,6.553,655.341,17,23,Mina,-6.765142037596328,-78.63370139410775,12.043889670662622
Antamina,Compañía Minera Antamina S.A,30.966,"3,096.609",18,6,Mina,-9.553777828619314,-77.04487309165661,14.929345675892923
Antapaccay,Glencore,52.077,"5,207.744",19,7,Mina,-14.960075396088323,-71.37826522824271,15.943487378808161
Yanacocha,Compañía de Minas Buenaventura S.A.A/ Minera Yan,81.662,"8,166.235",17,94,Mina,-6.987079298600836,-78.52362125705537,16.829520008581035
Atacocha,Compañía Minera Milpo S.A.A,2.692,269.155,18,12,Mina,-10.579960802963805,-76.21329196753294,10.612336633281211
Tintaya,Tintaya,52.077,"5,207.744",19,7,Mina,-14.897950367012864,-71.32733288903998,15.943487378808161
Pucamarca,MINSUR S.A.,3.586,358.623,19,75,Mina,-17.820871979392482,-69.81226687564235,11.046016368871426
Chungar-Animon,COMPAÑIA MINERA CHUNGAR S.A.C.,0.873,87.28,18,119,Mina,-11.026348613523544,-76.42549996850967,9.255082846923903
Ferrobamba,MMG - Las Bambas,36.008,"3,600.834",18,43,Mina,-14.083223952577566,-72.30515828910133,15.222268210978168
